MJ03,MJ06,MJ05,JAAC001,JAAC002,JAAC003,JAAC004,JAAC005,JAAC007,JAAC008,JAAC009,JAAC010,JAAC011,JAAC012,JAAC013,JAAC014,JAAC020,JAAC021,JAAC022,JAAC023,JAAC024,JAAC025,JAAC026,JAAC027,MJ07
50100577,9,1,1,49,1,1,1, , , , , ,4,4, ,1,1,198607,1,5,3,6,7,1
50100577,10,2,2,51,2,1,1, , , , , ,4,4, ,1,1,199205,1,5,3,6,7,
50100577,10,3,2,101,1,2,22, , , , , ,3,3,2,5,3,      ,0,6,3,6,7,
50100586,1,1,1,43,1,1,1, , , , , ,3,3,2,3,1,199303,1,5,3,6,7,1
50100588,1,1,1,61,1,1,1, , , , , ,2,2,2,3,1,197006,1,5,3,6,7,1
50100590,1,1,1,85,2,1,3, , , , , ,3,3,1,7,3,      ,0,6,3,2,7,1
50100590,1,2,2,18,1,1,1, , , , , ,4,4,1,7,3,      ,0,5,3,6,7,
50100592,1,1,1,58,1,1,1, , , , , ,4,4, ,1,1,198403,1,5,3,6,7,1
50100592,2,2,2,21,1,1,1, , , , , ,3,3,2,1,1,201506,1,5,3,6,7,
50100595,1,1,1,50,1,1,1, , , , , ,4,4, ,1,1,198611,1,5,3,6,7,1
50100595,2,2,2,43,2,1,1, , , , , ,3,3,2,1,1,199503,1,5,3,6,7,
50100597,1,1,1,20,2,1,1, , , , , ,4,4,1,1,1,201612,1,5,3,6,7,1
50100597,2,2,2,47,2,1,1, , , , , ,4,4,1,1,1,198812,1,5,3,6,7,
50100597,2,3,2,47,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100600,1,1,1,36,1,1,1, , , , , ,3,3,2,1,1,200403,1,5,3,6,7,1
50100600,1,2,2,56,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100600,1,3,2,12,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100600,1,4,2,11,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100601,1,1,1,55,1,1,1, , , , , ,4,4, ,1,1,198004,1,5,3,6,7,1
50100601,1,2,2,49,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100601,1,3,2,15,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100606,1,1,1,42,1,1,1, , , , , ,4,4, ,1,1,199404,1,5,3,6,7,1
50100606,1,2,2,62,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,3,7,
50100612,1,1,1,57,1,1,1, , , , , ,4,4, ,1,1,198712,1,5,3,6,7,1
50100612,2,2,2,39,1,1,1, , , , , ,3,3,2,1,1,199609,1,5,3,6,7,
50100612,2,3,2,34,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100612,2,4,2,46,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100617,1,1,1,56,1,1,1, , , , , ,4,4, ,7,1,200011,1,5,3,6,7,1
50100617,1,2,2,75,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
50100617,1,3,2,50,2,1,22, , , , , ,3,3,2,7,3,      ,0,6,3,6,7,
50100619,1,1,1,47,2,1,3, , , , , ,2,2,2,7,3,      ,0,5,3,3,7,1
50100619,1,2,2,52,1,1,1, , , , , ,4,4, ,1,1,198304,1,5,3,6,7,
50100620,1,1,1,62,1,1,1, , , , , ,4,4, ,1,1,198106,1,5,3,6,7,1
50100620,2,2,2,22,1,1,1, , , , , ,3,3,2,1,1,201608,1,5,3,6,7,
50100623,1,1,1,22,1,1,1, , , , , ,3,3,2,1,1,201509,1,5,3,6,7,1
50100624,1,1,1,28,1,1,1, , , , , ,4,4, ,1,1,201405,1,5,3,6,7,1
50100624,2,2,2,46,1,1,1, , , , , ,4,4, ,1,1,199404,1,5,3,6,7,
50100624,2,4,2,15,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100624,2,5,2,13,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50100624,3,3,2,39,1,1,1, , , , , ,3,3,2,1,1,199511,1,5,3,6,7,
50100624,3,6,2,44,1,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50200036,1,1,1,27,1,1,1, , , , , ,4,4, ,1,1,201502,1,5,3,6,7,1
50200036,1,2,2,22,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50200036,1,3,2,22,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50200037,1,1,1,59,2,1,1, , , , , ,3,3,2,1,1,198202,1,5,3,6,7,1
50200037,1,2,2,5,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50200040,2,1,1,9,1,1,1, , , , , ,3,3,2,7,3,      ,0,6,3,6,1,1
50200042,1,1,1,43,2,1,1, , , , , ,2,2,2,7,3,      ,0,5,3,6,7,1
50200043,0,1,1,          , ,  ,1, , , , , ,4,4, ,1,1,200310,1,6,3,6,7,1
50200043,1,2,2,21,2,1,1, , , , , ,3,3,2,1,1,201408,1,5,3,6,7,
50300102,1,1,1,30,1,1,1, , , , , ,4,4, ,1,1,200404,1,5,3,6,7,1
50300102,2,2,2,35,1,1,1, , , , , ,3,3,2,3,2,      ,0,5,3,6,7,
50300104,1,1,1,76,1,1,1, , , , , ,4,4, ,1,1,197107,1,5,3,6,7,1
50300104,1,4,2,70,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50300104,2,2,2,44,1,1,1, , , , , ,4,4, ,1,1,199112,1,5,3,6,7,
50300104,3,3,2,51,1,1,1, , , , , ,4,4, ,7,1,198602,1,5,3,6,7,
50300105,1,1,1,          , ,  ,1, , , , , ,4,4, ,1,1,      ,0,6,3,6,7,1
50300105,2,2,2,31,1,22,1, , , , , ,2,2,2,1,1,200610,1,5,3,6,7,
50300106,1,1,1,53,1,1,1, , , , , ,4,4, ,1,1,198312,1,4,3,6,7,1
50300106,1,2,2,54,2,1,21, , , , , ,2,2,2,1,3,      ,0,6,3,6,7,
50300108,1,1,1,55,1,1,1, , , , , ,2,2,2,4,3,      ,0,4,3,6,7,1
50300111,1,1,1,54,1,23,1, , , , , ,2,2,2,3,1,200406,1,5,3,6,7,1
50300111,2,2,2,59,1,27,1, , , , , ,4,4, ,1,1,201103,1,5,3,6,7,
50300113,1,1,1,33,1,23,1, , , , , ,3,2,2,3,1,201510,1,5,3,6,7,1
50300113,1,2,2,29,2,23,22, , , , , ,3,3,2,3,3,      ,0,6,3,6,7,
50300118,1,1,1,64,1,1,1, , , , , ,2,2,2,1,1,198204,1,5,3,6,7,1
50300119,1,1,1,82,1,1,1, , , , , ,2,2,2,1,1,195506,1,5,3,6,7,1
50300121,1,1,1,59,1,1,1, , , , , ,3,3,2,7,1,198403,1,3,3,6,7,1
50300125,1,1,1,58,2,1,1, , , , , ,4,4, ,1,1,198401,1,5,3,6,7,1
50300125,2,2,2,28,2,1,1, , , , , ,4,4, ,2,1,200910,1,5,3,6,7,
50300125,2,3,2,53,2,1,21, , , , , ,2,2,2,2,3,      ,0,6,3,6,7,
50300125,2,4,2,3,1,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50400153,1,1,1,7,1,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,3,7,1
50400153,1,2,2,61,1,1,1, , , , , ,4,4, ,1,1,198404,1,5,3,6,7,
50400154,1,1,1,27,2,1,1, , , , , ,4,4, ,1,1,201207,1,5,3,6,7,1
50400154,2,2,2,62,1,1,1, , , , , ,2,2,2,7,3,      ,0,2,3,6,7,
50400155,1,1,1,45,1,1,1, , , , , ,4,4, ,1,1,200511,1,5,3,6,7,1
50400155,1,2,2,49,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
50400155,1,3,2,23,2,1,3, , , , , ,3,3,2,7,3,      ,0,6,3,2,7,
50400160,1,1,1,46,2,1,1, , , , , ,3,3,2,1,1,198808,1,5,3,6,7,1
50400160,2,2,2,59,1,1,1, , , , , ,4,4, ,1,1,197710,1,5,3,6,7,
50400162,1,1,1,64,1,1,1, , , , , ,3,3,2,1,1,197908,1,5,3,6,7,1
50400165,1,1,1,23,2,1,1, , , , , ,3,3,2,1,1,201312,1,5,3,6,7,1
50400165,2,2,2,67,1,1,1, , , , , ,3,3,2,1,1,197512,1,5,3,6,7,
50400165,2,3,2,20,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50400165,2,4,2,55,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50400169,1,1,1,36,1,1,3, , , , , ,3,3,2,7,3,      ,0,3,3,3,7,1
50400169,1,2,2,47,2,1,1, , , , , ,4,4, ,1,1,200110,1,5,3,6,7,
50400171,1,1,1,21,1,1,1, , , , , ,2,2,2,1,1,201403,1,5,3,6,7,1
50400171,2,2,2,59,2,1,1, , , , , ,3,3,2,1,1,199006,1,5,3,6,7,
50400173,1,1,1,84,1,1,1, , , , , ,3,3,2,1,1,197403,1,5,3,6,7,1
50500102,1,1,1,21,1,1,1, , , , , ,4,4, ,1,1,201312,1,5,3,6,7,1
50500102,1,2,2,22,2,1,21, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50500104,1,1,1,29,1,1,1, , , , , ,3,3,2,1,2,      ,0,3,3,6,7,1
50500111,1,1,1,27,1,1,1, , , , , ,2,2,2,2,1,200907,1,3,3,6,7,1
50500111,1,2,2,27,2,1,22, , , , , ,3,3,2,2,3,      ,0,6,3,6,7,
50500112,1,1,1,12,1,1,1, , , , , ,3,3,2,7,3,      ,0,5,3,6,7,1
50600094,1,1,1,68,1,1,1, , , , , ,4,4, ,1,1,199702,1,5,3,6,7,1
50600094,1,2,2,86,2,1,3, , , , , ,2,2,2,7,3,      ,0,6,3,4,7,
50600095,1,1,1,22,1,1,1, , , , , ,3,3,2,4,2,      ,0,3,3,6,7,1
50600099,3,1,1,22,2,1,1, , , , , ,3,3,2,1,1,201608,1,5,3,6,7,1
50600104,1,1,1,42,1,1,1, , , , , ,4,4, ,1,1,199308,1,5,3,6,7,1
50600104,1,2,2,38,2,1,21, , , , , ,3,2,2,1,3,      ,0,6,3,6,7,
50600104,1,3,2,12,2,1,22, , , , , ,3,3,2,1,3,      ,0,6,3,6,7,
50700191,1,1,1,23,1,1,1, , , , , ,4,4, ,1,1,201510,1,5,3,6,7,1
50700191,1,2,2,50,2,1,22, , , , , ,2,2,2,1,3,      ,0,6,3,6,7,
50700192,1,1,1,68,1,1,1, , , , , ,3,3,2,1,1,201001,1,5,3,6,7,1
